,game_location,game_season,game_year,discipline_title,event_gender,medal_type,participant_type,country_name,country_3_letter_code,year,population,gdp
0,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
1,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
4,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
5,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
9,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,Serbia,SRB,2020.0,6908224.0,53335016425.4148
11,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
12,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,France,FRA,2020.0,67391582.0,2630317731455.26
13,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
14,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
15,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
16,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
17,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
20,Japan,Summer,2020,Shooting,Women,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
21,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
22,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
23,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
24,Japan,Summer,2020,Shooting,Women,SILVER,Athlete,Italy,ITA,2020.0,59554023.0,1888709443687.48
25,Japan,Summer,2020,Shooting,Women,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
26,Japan,Summer,2020,Shooting,Women,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
27,Japan,Summer,2020,Shooting,Women,GOLD,Athlete,Slovakia,SVK,2020.0,5458827.0,105172564491.569
29,Japan,Summer,2020,Shooting,Women,SILVER,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
30,Japan,Summer,2020,Shooting,Women,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
33,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
34,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
35,Japan,Summer,2020,Shooting,Mixed,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
36,Japan,Summer,2020,Shooting,Mixed,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
37,Japan,Summer,2020,Shooting,Women,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
39,Japan,Summer,2020,Shooting,Women,SILVER,Athlete,Republic of Korea,KOR,2020.0,51780579.0,1637895802792.9
40,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,Serbia,SRB,2020.0,6908224.0,53335016425.4148
42,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
43,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
44,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
47,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
48,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
51,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
52,Japan,Summer,2020,Diving,Men,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
53,Japan,Summer,2020,Diving,Men,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
54,Japan,Summer,2020,Diving,Men,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
55,Japan,Summer,2020,Diving,Men,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
58,Japan,Summer,2020,Diving,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
59,Japan,Summer,2020,Diving,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
60,Japan,Summer,2020,Diving,Women,SILVER,GameTeam,Canada,CAN,2020.0,38005238.0,1645423407568.36
61,Japan,Summer,2020,Diving,Women,SILVER,GameTeam,Canada,CAN,2020.0,38005238.0,1645423407568.36
64,Japan,Summer,2020,Diving,Men,GOLD,GameTeam,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
65,Japan,Summer,2020,Diving,Men,GOLD,GameTeam,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
66,Japan,Summer,2020,Diving,Men,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
67,Japan,Summer,2020,Diving,Men,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
70,Japan,Summer,2020,Diving,Men,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
71,Japan,Summer,2020,Diving,Men,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
72,Japan,Summer,2020,Diving,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
73,Japan,Summer,2020,Diving,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
74,Japan,Summer,2020,Diving,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
75,Japan,Summer,2020,Diving,Women,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
76,Japan,Summer,2020,Diving,Women,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
77,Japan,Summer,2020,Diving,Women,BRONZE,GameTeam,Mexico,MEX,2020.0,128932753.0,1073915880822.5
78,Japan,Summer,2020,Diving,Women,BRONZE,GameTeam,Mexico,MEX,2020.0,128932753.0,1073915880822.5
79,Japan,Summer,2020,Diving,Women,BRONZE,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
80,Japan,Summer,2020,Diving,Women,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
81,Japan,Summer,2020,Diving,Women,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
82,Japan,Summer,2020,Diving,Men,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
83,Japan,Summer,2020,Diving,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
84,Japan,Summer,2020,Diving,Men,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
85,Japan,Summer,2020,Diving,Women,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
86,Japan,Summer,2020,Diving,Women,BRONZE,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
87,Japan,Summer,2020,Diving,Women,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
88,Japan,Summer,2020,Canoe Sprint,Women,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
89,Japan,Summer,2020,Canoe Sprint,Women,SILVER,Athlete,Canada,CAN,2020.0,38005238.0,1645423407568.36
90,Japan,Summer,2020,Canoe Sprint,Women,BRONZE,Athlete,Ukraine,UKR,2020.0,44134693.0,155498989149.587
91,Japan,Summer,2020,Canoe Sprint,Men,GOLD,GameTeam,Cuba,CUB,2020.0,11326616.0,107352000000.0
92,Japan,Summer,2020,Canoe Sprint,Men,GOLD,GameTeam,Cuba,CUB,2020.0,11326616.0,107352000000.0
93,Japan,Summer,2020,Canoe Sprint,Men,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
94,Japan,Summer,2020,Canoe Sprint,Men,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
98,Japan,Summer,2020,Canoe Sprint,Men,SILVER,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
99,Japan,Summer,2020,Canoe Sprint,Men,BRONZE,GameTeam,Slovakia,SVK,2020.0,5458827.0,105172564491.569
100,Japan,Summer,2020,Canoe Sprint,Men,GOLD,GameTeam,Australia,AUS,2020.0,25687041.0,1327836171068.51
101,Japan,Summer,2020,Canoe Sprint,Men,GOLD,GameTeam,Australia,AUS,2020.0,25687041.0,1327836171068.51
104,Japan,Summer,2020,Canoe Sprint,Men,BRONZE,GameTeam,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
105,Japan,Summer,2020,Canoe Sprint,Men,BRONZE,GameTeam,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
107,Japan,Summer,2020,Canoe Sprint,Women,GOLD,Athlete,New Zealand,NZL,2020.0,5084300.0,210700848973.509
108,Japan,Summer,2020,Canoe Sprint,Women,SILVER,Athlete,Spain,ESP,2020.0,47351567.0,1281484640043.58
109,Japan,Summer,2020,Canoe Sprint,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
110,Japan,Summer,2020,Canoe Sprint,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
111,Japan,Summer,2020,Canoe Sprint,Women,SILVER,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
112,Japan,Summer,2020,Canoe Sprint,Women,SILVER,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
113,Japan,Summer,2020,Canoe Sprint,Women,BRONZE,GameTeam,Canada,CAN,2020.0,38005238.0,1645423407568.36
114,Japan,Summer,2020,Canoe Sprint,Women,BRONZE,GameTeam,Canada,CAN,2020.0,38005238.0,1645423407568.36
115,Japan,Summer,2020,Canoe Sprint,Women,SILVER,Athlete,Hungary,HUN,2020.0,9749763.0,155808436238.487
116,Japan,Summer,2020,Canoe Sprint,Women,GOLD,Athlete,New Zealand,NZL,2020.0,5084300.0,210700848973.509
118,Japan,Summer,2020,Canoe Sprint,Women,GOLD,GameTeam,Hungary,HUN,2020.0,9749763.0,155808436238.487
119,Japan,Summer,2020,Canoe Sprint,Women,SILVER,GameTeam,Belarus,BLR,2020.0,9379952.0,60258239055.5829
120,Japan,Summer,2020,Canoe Sprint,Women,BRONZE,GameTeam,Poland,POL,2020.0,37950802.0,596624355719.671
121,Japan,Summer,2020,Canoe Sprint,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
122,Japan,Summer,2020,Canoe Sprint,Men,BRONZE,Athlete,Republic of Moldova,MDA,2020.0,2620495.0,11915547262.6561
123,Japan,Summer,2020,Canoe Sprint,Men,GOLD,Athlete,Brazil,BRA,2020.0,212559409.0,1444733258971.65
125,Japan,Summer,2020,Canoe Sprint,Men,SILVER,Athlete,Hungary,HUN,2020.0,9749763.0,155808436238.487
126,Japan,Summer,2020,Canoe Sprint,Men,GOLD,Athlete,Hungary,HUN,2020.0,9749763.0,155808436238.487
127,Japan,Summer,2020,Canoe Sprint,Women,GOLD,GameTeam,New Zealand,NZL,2020.0,5084300.0,210700848973.509
128,Japan,Summer,2020,Canoe Sprint,Women,GOLD,GameTeam,New Zealand,NZL,2020.0,5084300.0,210700848973.509
129,Japan,Summer,2020,Canoe Sprint,Women,SILVER,GameTeam,Poland,POL,2020.0,37950802.0,596624355719.671
130,Japan,Summer,2020,Canoe Sprint,Women,SILVER,GameTeam,Poland,POL,2020.0,37950802.0,596624355719.671
131,Japan,Summer,2020,Canoe Sprint,Women,BRONZE,GameTeam,Hungary,HUN,2020.0,9749763.0,155808436238.487
132,Japan,Summer,2020,Canoe Sprint,Women,BRONZE,GameTeam,Hungary,HUN,2020.0,9749763.0,155808436238.487
133,Japan,Summer,2020,Canoe Sprint,Men,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
134,Japan,Summer,2020,Canoe Sprint,Men,SILVER,Athlete,Italy,ITA,2020.0,59554023.0,1888709443687.48
135,Japan,Summer,2020,Canoe Sprint,Men,GOLD,Athlete,Hungary,HUN,2020.0,9749763.0,155808436238.487
137,Japan,Summer,2020,Cycling Road,Women,BRONZE,Athlete,Italy,ITA,2020.0,59554023.0,1888709443687.48
138,Japan,Summer,2020,Cycling Road,Women,GOLD,Athlete,Austria,AUT,2020.0,8917205.0,433258467676.515
142,Japan,Summer,2020,Cycling Road,Men,BRONZE,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
146,Japan,Summer,2020,Cycling Road,Men,GOLD,Athlete,Ecuador,ECU,2020.0,17643060.0,98808010000.0
147,Japan,Summer,2020,Cycling Road,Men,SILVER,Athlete,Belgium,BEL,2020.0,11555997.0,521861292586.616
148,Japan,Summer,2020,Football,Women,GOLD,GameTeam,Canada,CAN,2020.0,38005238.0,1645423407568.36
149,Japan,Summer,2020,Football,Women,SILVER,GameTeam,Sweden,SWE,2020.0,10353442.0,541220059459.25
150,Japan,Summer,2020,Football,Women,BRONZE,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
151,Japan,Summer,2020,Football,Men,GOLD,GameTeam,Brazil,BRA,2020.0,212559409.0,1444733258971.65
152,Japan,Summer,2020,Football,Men,SILVER,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
153,Japan,Summer,2020,Football,Men,BRONZE,GameTeam,Mexico,MEX,2020.0,128932753.0,1073915880822.5
154,Japan,Summer,2020,Boxing,Men,SILVER,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
156,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
157,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Ireland,IRL,2020.0,4994724.0,425888950992.003
159,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Brazil,BRA,2020.0,212559409.0,1444733258971.65
160,Japan,Summer,2020,Boxing,Men,SILVER,Athlete,Ukraine,UKR,2020.0,44134693.0,155498989149.587
162,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Uzbekistan,UZB,2020.0,34232050.0,59929951114.3598
163,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Kazakhstan,KAZ,2020.0,18754440.0,171082379532.988
164,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
165,Japan,Summer,2020,Boxing,Men,SILVER,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
167,Japan,Summer,2020,Boxing,Men,SILVER,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
168,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
169,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Azerbaijan,AZE,2020.0,10093121.0,42607176470.5882
170,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Ghana,GHA,2020.0,31072945.0,68532281805.6722
171,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
172,Japan,Summer,2020,Boxing,Men,SILVER,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
174,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,New Zealand,NZL,2020.0,5084300.0,210700848973.509
175,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Brazil,BRA,2020.0,212559409.0,1444733258971.65
177,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
178,Japan,Summer,2020,Boxing,Women,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
180,Japan,Summer,2020,Boxing,Women,GOLD,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
182,Japan,Summer,2020,Boxing,Women,GOLD,Athlete,Ireland,IRL,2020.0,4994724.0,425888950992.003
183,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,Finland,FIN,2020.0,5530719.0,269594831987.549
184,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,Thailand,THA,2020.0,69799978.0,501643653514.925
185,Japan,Summer,2020,Boxing,Women,SILVER,Athlete,Brazil,BRA,2020.0,212559409.0,1444733258971.65
186,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
187,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,India,IND,2020.0,1380004385.0,2660245248867.63
188,Japan,Summer,2020,Boxing,Women,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
189,Japan,Summer,2020,Boxing,Women,GOLD,Athlete,Turkey,TUR,2020.0,84339067.0,719954821683.31
191,Japan,Summer,2020,Boxing,Women,SILVER,Athlete,Turkey,TUR,2020.0,84339067.0,719954821683.31
192,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,Japan,JPN,2020.0,125836021.0,5057758958706.64
194,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Kazakhstan,KAZ,2020.0,18754440.0,171082379532.988
196,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Japan,JPN,2020.0,125836021.0,5057758958706.64
197,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
199,Japan,Summer,2020,Boxing,Women,GOLD,Athlete,Japan,JPN,2020.0,125836021.0,5057758958706.64
200,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,Italy,ITA,2020.0,59554023.0,1888709443687.48
201,Japan,Summer,2020,Boxing,Women,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
202,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
203,Japan,Summer,2020,Boxing,Men,SILVER,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
204,Japan,Summer,2020,Boxing,Men,BRONZE,Athlete,Armenia,ARM,2020.0,2963234.0,12641209802.112
205,Japan,Summer,2020,Boxing,Men,GOLD,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
208,Japan,Summer,2020,Artistic Swimming,Women,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
209,Japan,Summer,2020,Artistic Swimming,Women,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
210,Japan,Summer,2020,Artistic Swimming,Women,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
211,Japan,Summer,2020,Artistic Swimming,Women,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
213,Japan,Summer,2020,Artistic Swimming,Women,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
214,Japan,Summer,2020,Artistic Swimming,Women,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
215,Japan,Summer,2020,Handball,Men,GOLD,GameTeam,France,FRA,2020.0,67391582.0,2630317731455.26
217,Japan,Summer,2020,Handball,Men,BRONZE,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
218,Japan,Summer,2020,Handball,Women,GOLD,GameTeam,France,FRA,2020.0,67391582.0,2630317731455.26
220,Japan,Summer,2020,Handball,Women,BRONZE,GameTeam,Norway,NOR,2020.0,5379475.0,362198318435.26
222,Japan,Summer,2020,Rugby Sevens,Men,SILVER,GameTeam,New Zealand,NZL,2020.0,5084300.0,210700848973.509
223,Japan,Summer,2020,Rugby Sevens,Men,BRONZE,GameTeam,Argentina,ARG,2020.0,45376763.0,389288056265.325
224,Japan,Summer,2020,Rugby Sevens,Women,GOLD,GameTeam,New Zealand,NZL,2020.0,5084300.0,210700848973.509
225,Japan,Summer,2020,Rugby Sevens,Women,SILVER,GameTeam,France,FRA,2020.0,67391582.0,2630317731455.26
227,Japan,Summer,2020,Cycling BMX Racing,Men,SILVER,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
228,Japan,Summer,2020,Cycling BMX Racing,Men,BRONZE,Athlete,Colombia,COL,2020.0,50882884.0,271437596293.843
230,Japan,Summer,2020,Cycling BMX Racing,Women,GOLD,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
232,Japan,Summer,2020,Cycling BMX Racing,Women,SILVER,Athlete,Colombia,COL,2020.0,50882884.0,271437596293.843
234,Japan,Summer,2020,Triathlon,Women,SILVER,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
235,Japan,Summer,2020,Triathlon,Women,BRONZE,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
236,Japan,Summer,2020,Triathlon,Mixed,GOLD,GameTeam,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
237,Japan,Summer,2020,Triathlon,Mixed,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
238,Japan,Summer,2020,Triathlon,Mixed,BRONZE,GameTeam,France,FRA,2020.0,67391582.0,2630317731455.26
239,Japan,Summer,2020,Triathlon,Men,BRONZE,Athlete,New Zealand,NZL,2020.0,5084300.0,210700848973.509
240,Japan,Summer,2020,Triathlon,Men,SILVER,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
241,Japan,Summer,2020,Triathlon,Men,GOLD,Athlete,Norway,NOR,2020.0,5379475.0,362198318435.26
242,Japan,Summer,2020,Surfing,Women,BRONZE,Athlete,Japan,JPN,2020.0,125836021.0,5057758958706.64
244,Japan,Summer,2020,Surfing,Women,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
245,Japan,Summer,2020,Surfing,Men,SILVER,Athlete,Japan,JPN,2020.0,125836021.0,5057758958706.64
246,Japan,Summer,2020,Surfing,Men,GOLD,Athlete,Brazil,BRA,2020.0,212559409.0,1444733258971.65
247,Japan,Summer,2020,Surfing,Men,BRONZE,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
248,Japan,Summer,2020,Table Tennis,Women,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
249,Japan,Summer,2020,Table Tennis,Women,SILVER,GameTeam,Japan,JPN,2020.0,125836021.0,5057758958706.64
250,Japan,Summer,2020,Table Tennis,Women,BRONZE,GameTeam,"Hong Kong, China",HKG,2020.0,7481800.0,346585881503.635
251,Japan,Summer,2020,Table Tennis,Men,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
252,Japan,Summer,2020,Table Tennis,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
254,Japan,Summer,2020,Table Tennis,Mixed,GOLD,GameTeam,Japan,JPN,2020.0,125836021.0,5057758958706.64
255,Japan,Summer,2020,Table Tennis,Mixed,GOLD,GameTeam,Japan,JPN,2020.0,125836021.0,5057758958706.64
256,Japan,Summer,2020,Table Tennis,Mixed,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
257,Japan,Summer,2020,Table Tennis,Mixed,SILVER,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
260,Japan,Summer,2020,Table Tennis,Women,BRONZE,Athlete,Japan,JPN,2020.0,125836021.0,5057758958706.64
261,Japan,Summer,2020,Table Tennis,Women,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
262,Japan,Summer,2020,Table Tennis,Women,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
263,Japan,Summer,2020,Table Tennis,Men,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
265,Japan,Summer,2020,Table Tennis,Men,BRONZE,GameTeam,Japan,JPN,2020.0,125836021.0,5057758958706.64
266,Japan,Summer,2020,Canoe Slalom,Men,SILVER,Athlete,Slovakia,SVK,2020.0,5458827.0,105172564491.569
268,Japan,Summer,2020,Canoe Slalom,Men,GOLD,Athlete,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
269,Japan,Summer,2020,Canoe Slalom,Women,GOLD,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
271,Japan,Summer,2020,Canoe Slalom,Women,SILVER,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
272,Japan,Summer,2020,Canoe Slalom,Women,BRONZE,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
273,Japan,Summer,2020,Canoe Slalom,Women,SILVER,Athlete,Spain,ESP,2020.0,47351567.0,1281484640043.58
277,Japan,Summer,2020,Canoe Slalom,Men,SILVER,Athlete,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
278,Japan,Summer,2020,Marathon Swimming,Women,GOLD,Athlete,Brazil,BRA,2020.0,212559409.0,1444733258971.65
280,Japan,Summer,2020,Marathon Swimming,Women,BRONZE,Athlete,Australia,AUS,2020.0,25687041.0,1327836171068.51
281,Japan,Summer,2020,Marathon Swimming,Men,BRONZE,Athlete,Italy,ITA,2020.0,59554023.0,1888709443687.48
282,Japan,Summer,2020,Marathon Swimming,Men,SILVER,Athlete,Hungary,HUN,2020.0,9749763.0,155808436238.487
284,Japan,Summer,2020,Trampoline Gymnastics,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
285,Japan,Summer,2020,Trampoline Gymnastics,Men,BRONZE,Athlete,New Zealand,NZL,2020.0,5084300.0,210700848973.509
286,Japan,Summer,2020,Trampoline Gymnastics,Women,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
287,Japan,Summer,2020,Trampoline Gymnastics,Women,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
288,Japan,Summer,2020,Trampoline Gymnastics,Women,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
289,Japan,Summer,2020,Volleyball,Men,GOLD,GameTeam,France,FRA,2020.0,67391582.0,2630317731455.26
291,Japan,Summer,2020,Volleyball,Men,BRONZE,GameTeam,Argentina,ARG,2020.0,45376763.0,389288056265.325
292,Japan,Summer,2020,Volleyball,Women,GOLD,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
293,Japan,Summer,2020,Volleyball,Women,SILVER,GameTeam,Brazil,BRA,2020.0,212559409.0,1444733258971.65
294,Japan,Summer,2020,Volleyball,Women,BRONZE,GameTeam,Serbia,SRB,2020.0,6908224.0,53335016425.4148
295,Japan,Summer,2020,Basketball,Men,GOLD,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
296,Japan,Summer,2020,Basketball,Men,SILVER,GameTeam,France,FRA,2020.0,67391582.0,2630317731455.26
297,Japan,Summer,2020,Basketball,Men,BRONZE,GameTeam,Australia,AUS,2020.0,25687041.0,1327836171068.51
